Приоритетна област	Програма	Модул	Вид	Средства	Година
Компетентности и таланти	НП УЧЕНИЧЕСКИ ОЛИМПИАДИ И СЪСТЕЗАНИЯ		Национална програма	1262248	2018
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Оценяване и одобряване на познавателни книжки, учебници и учебни комплекти	Национална програма	571117	2018
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подобряване на условията за лабораторна и експериментална работа по природни науки	Национална програма	2000000	2018
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Музеите като образователна среда	Национална програма	139659	2018
Компетентности и таланти	НП С ГРИЖА ЗА ВСЕКИ УЧЕНИК		Национална програма	1431493	2018
Компетентности и таланти	НП БЕЗ СВОБОДЕН ЧАС	Модул Без свободен час в училище	Национална програма	2270998	2018
Компетентности и таланти	BG05M2OP001-2.004-0001Развитие на способностите на учениците и повишаване на мотивацията им за учене чрез дейности, развиващи специфични знания, умения и компетентности (Твоят час) – Фаза 1		Европейски програми и проекти	66389388.02	2018
Мотивирани и креативни учители	НП КВАЛИФИКАЦИЯ		Национална програма	697939	2018
Мотивирани и креативни учители	НП ОПТИМИЗИРАНЕ НА ВЪТРЕШНАТА СТРУКТУРА НА ПЕРСОНАЛА		Национална програма	49289400	2018
Мотивирани и креативни учители	BG05M2OP001-2.010-0001 Квалификация за професионално развитие на педагогическите специалисти		Европейски програми и проекти	3982224	2018
Сплотени училищни общности и системна работа с родителите	НП РАЗВИТИЕ НА СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО ОБРАЗОВАНИЕ		Национална програма	523709	2018
Ефективно включване, трайно приобщаване и образователна интеграция	НП СЪЗДАВАНЕ НА ДОСТЪПНА АРХИТЕКТУРНА СРЕДА И СИГУРНОСТ В УЧИЛИЩЕ	Модул Създаване на достъпна архитектурна среда	Национална програма	636173	2018
Ефективно включване, трайно приобщаване и образователна интеграция	НП СЪЗДАВАНЕ НА ДОСТЪПНА АРХИТЕКТУРНА СРЕДА И СИГУРНОСТ В УЧИЛИЩЕ	Модул Сигурност в училище	Национална програма	37977	2018
